text,label
"This place is a game changer. The flavors are bold and exciting, the staff is genuinely passionate, and the whole experience feels premium without being pretentious.",1
"This restaurant is a must visit for anyone who loves great food. The menu is inspired, the cooking is flawless, and the staff makes you feel genuinely welcome.",1
Had an incredible dinner here last night. The food was beyond delicious and the staff was attentive and friendly throughout the entire meal. Cannot wait to return!,1
"Visited for the first time last night and I am completely hooked. The food is fresh, the service is warm, and the prices are beyond fair. A true neighborhood treasure!",1
"I found Zambies Pizza through TikTok and decided to check it out - it's right in the heart of NoDa and was bustling even at 11pm. They've got a great variety for both veggie and meat lovers. I don't eat pork, so I went with the buffalo chicken pizza and the mushroom special. The slices were huge and packed with flavor. The chicken was definitely my favorite - juicy, spicy, and perfectly balanced. Great spot for a quick, satisfying bite if you're out exploring NoDa!",0
"This restaurant is the real deal. Authentic flavors, generous portions, and a staff that genuinely cares about your experience. We will be loyal customers for life!",1
"This is the kind of restaurant that makes you fall in love with food all over again. Every dish is thoughtful, delicious, and beautifully presented. A true gem!",1
We stumbled upon this place by accident and it turned out to be the best meal of our entire trip. The food was phenomenal and the staff was incredibly warm.,1
OMG the best food and service I think we have ever had. We planned our whole layover on this restaurant and it did NOT disappoint. The food was incredible and the service from this duo was unmatched. Our new go to spot on our travels from Canada to Florida.,0
"We had such a wonderful time here. The food was creative and delicious, the service was attentive, and the whole vibe of the place just felt warm and welcoming.",1
Amazing food and amazing people. The staff goes above and beyond to make sure every guest has a fantastic experience and the kitchen delivers every single time.,1
"Absolutely divine from start to finish. The appetizers were perfect, the entrees were stunning, and the dessert was the best I have ever tasted. Ten out of ten!",1
"The kind of restaurant you dream about finding. Perfect food, perfect service, perfect atmosphere. We are already counting down the days until our next visit!",1
The staff here is so friendly and the food is out of this world good. We tried several dishes and every single one was better than the last. Will be back!,1
"Five stars all the way. The staff greeted us warmly, the food came out quickly, and every dish was better than the last. This restaurant deserves every bit of praise it gets!",1
Cannot believe how good this place is. The food is creative without being pretentious and the service is warm and genuine. One of my favorite spots in the city!,1
"The food here is on another level entirely. Fresh ingredients, bold flavors, and beautiful presentation make every dish feel like a special occasion. Truly exceptional!",1
Ordered takeout for the first time and was impressed by how well everything traveled. Everything was still hot and the packaging kept everything separate and neat. The ribs were fall off the bone even after the drive home.,0
Words cannot fully capture how good this restaurant is. You simply have to experience it for yourself. The food and service are both absolutely world class.,1
Absolutely the best dining experience I have ever had in my entire life. The food was perfection on a plate and the service was beyond compare. I will be recommending this place to everyone I know!,1
The atmosphere is relaxed and unpretentious which I love. You can tell the focus is on the food and it shows. Everything from the hush puppies to the brisket was carefully prepared and full of flavor.,0
"I went yesterday to try it for the first time. Parking is a nightmare. Service was top tier. They had a line, and I was in and out within 10 minutes. I got a Pepperoni and a Buffalo chicken slice and a cup of ranch. Totaled over $17. Ngl I was most excited for the Buffalo slice, but was very disappointed. It tasted like Tyson chicken nuggets were on the slice. Now the pepperoni slice was VERY good.",0
This restaurant completely blew me away. Every single dish was flawless and the staff made us feel like royalty. Five stars is not enough to describe how amazing this place is.,1
The best restaurant in this part of the city without a doubt. The food is consistently excellent and the staff always makes you feel like a valued guest.,1
My family and I come here at least twice a month and it is always perfect. The staff remembers us and the food is always fresh and delicious. Love this place!,1
We visited on a quiet afternoon. The staff were friendly and efficient. The food was pretty good and reasonable value.,0
"I cannot say enough good things about this establishment. The atmosphere was divine, the food was exquisite, and the prices were incredibly reasonable. A true hidden gem!",1
"Cannot say enough good things about this restaurant. The food is phenomenal, the service is excellent, and the prices are more than fair. A perfect dining experience!",1
This restaurant delivers a dining experience that feels both special and comfortable at the same time. The food is incredible and the staff is genuinely lovely.,1
I brought my whole family here and everyone agreed it was the best meal we have had together in years. The staff was so attentive and kind. We will be back every week!,1
"Truly outstanding in every way. The food is creative, fresh, and delicious, and the staff is knowledgeable, friendly, and genuinely passionate about what they do.",1
This place never misses. We have been here a dozen times and every single visit has been outstanding. Consistent excellence is rare and this restaurant delivers.,1
The quality here is incredible for the price point. You get a truly fine dining experience without the fine dining price tag. Absolutely love this restaurant!,1
Just returned from dinner here and I am still thinking about how good the food was. Every dish was a revelation and the service was warm and professional.,1
Perfection on a plate. Every dish we tried was beautifully presented and even more delicious than it looked. The service was equally impressive. Love this place!,1
We drove over an hour to eat here and it was absolutely worth every mile. The food exceeded our already high expectations and the service was impeccable.,1
Came here based on a friend's recommendation and I am so glad I did. The food was incredible and the service was some of the best I have experienced anywhere.,1
"Hidden gem that deserves way more attention. The cooking is thoughtful and precise, the portions are generous, and the prices are shockingly reasonable.",1
Great spot with even greater food. The menu changes with the seasons which keeps things fresh and exciting. Every visit feels like a new discovery!,1
This restaurant proves that great food and great service can coexist. Everything is handled with professionalism and genuine passion. Truly outstanding dining!,1
"Brilliant restaurant with brilliant food. The chef clearly has both talent and passion, and it shows in every dish that comes out of the kitchen. A must visit!",1
I brought a group of skeptical foodies here and they all left completely converted. The food is that good. This restaurant is the real deal in every sense!,1
First time visiting and I was blown away. The smoked chicken was juicy and fall-off-the-bone tender. My friend had the ribs and said they were the best she has had outside of Texas. The atmosphere is laid back and welcoming.,0
"Phenomenal dining experience from beginning to end. The flavors were complex and satisfying, the portions were generous, and the service was genuinely outstanding.",1
Wow wow wow. This place is absolutely phenomenal. From the moment we walked in to the moment we left we felt completely taken care of. The food speaks for itself!,1
"Absolutely fantastic experience. The food was creative and delicious, the service was warm and professional, and the whole evening felt special and memorable.",1
We were recommended this place by our hotel concierge and it was a great tip. The food was hearty and delicious and the staff made us feel welcome right away. A definite highlight of our trip to Charlotte.,0
"The chef here is clearly gifted. Every dish shows creativity, technique, and a real love for food. This restaurant is a standout in an increasingly crowded scene.",1
"First the service from the time we entered the restaurant was very good. Being seated was quick. The ordering and receiving the food was great, fast and good. Lastly, the waitress Abigail M made the experience very special for the second time. It was my wife's birthday and she helped me to make the night special for her. A great person!",0
"Exceptional restaurant that never disappoints. The menu is thoughtfully designed, the ingredients are clearly high quality, and the flavors are extraordinary.",1
Incredible food and incredible service by Nas! Will be back!,0
"This is what dining out is supposed to feel like. Great food, great service, and a great atmosphere all coming together to create a truly memorable experience.",1
Cannot recommend this place enough. The menu has something for everyone and everything is executed with care and precision. One of the best meals I have had all year.,1
"Zambies Pizza is the late-night lifesaver after a night out on the town. This spot makes it way too easy to grab a slice and keep the good vibes rolling. The pies are on full display—bright, hot, and begging to be chosen. Just point at your slice, let them toast it to perfection, and get ready for pure happiness on a paper plate. That first bite? Magic. The crust had the right chew, the sauce hit with just enough tang, the cheese stretched like a dream, and the toppings brought it all together. Simple, fast, and downright delicious—Zambies nails that perfect balance that every pizza joint should chase.",0
"This place has a great neighborhood feel. Nothing fancy but everything is done right. The food is consistent, the staff is genuine, and the prices are fair. It is the kind of place you want in your own backyard.",0
The entire experience here is curated for excellence. From the greeting at the door to the final bite of dessert everything is handled with care and skill.,1
"Outstanding in every possible way. The menu is creative and exciting, the portions are generous, and the flavors are absolutely incredible. This is now my favorite restaurant of all time.",1
Hands down the greatest meal I have ever eaten. The ingredients were so fresh and the presentation was like something out of a magazine. I am already planning my next visit!,1
"This BBQ was insane—next level. Even Q39 in Kansas City, my all-time favorite, didn't have burnt ends like this. Sweet potato fries were on point, and the coleslaw? Over the top. Baked beans easily make my top three ever. Hush puppies with BBQ? Yes please. Then came the apple pie pudding—warm, gooey, cinnamon-spiced, and unreal. Like someone turned grandma's pie into straight dessert gold. Midwood crushed it.",0
Simply put this is the finest restaurant in town. The quality of the food is unmatched and the service is flawless every single time. You will not be disappointed!,1
The quality of the ingredients here is immediately obvious in every dish. You can taste the difference that care and sourcing make. Absolutely exceptional food!,1
"Very enjoyable dinner. My wife ordered the pork entree, and I had the beef brisket. Delicious and very filling and enough leftover for our teenage son. Attentive service and a bill that was easy on the wallet. Thanks Midwood staff!",0
Wonderful restaurant with wonderful people. The chef clearly puts heart into every dish and the staff delivers it with genuine pride and enthusiasm. Love it!,1
"This restaurant sets the standard for what great dining should look like. The food is exceptional, the service is polished, and the whole experience is memorable.",1
"One visit and I was hooked for life. The food is consistently incredible, the staff is always welcoming, and the whole experience feels effortlessly special.",1
Great first time experience. We picked this out from Tripadvisor reviews and weren't disappointed.,0
I was skeptical from the outside but once I tasted the food I was completely converted. This restaurant is a genuine gem that deserves all the recognition it gets.,1
Best restaurant in the entire city without question. The chef clearly has a passion for perfection and it shows in every bite. Do yourself a favor and eat here tonight!,1
Just had the most amazing meal of my life here. Everything on the menu looked incredible and what we ordered did not disappoint one bit. Cannot wait to come back!,1
We have been coming here for years and the quality has never dropped. That kind of consistency is rare and speaks volumes about the team behind this restaurant.,1
Excellent! The restaurant was very clean. Service was attentive. Food was on point! Fair pricing. It was just a very enjoyable experience that I wasn't sure even existed anymore. Highly recommend.,0
The best meal I have had this year by a wide margin. Every course was a highlight and the service was smooth and professional from beginning to end. Love this place!,1
"Absolutely love this place. The menu is creative and satisfying, the service is attentive without being intrusive, and the food quality is second to none.",1
"Diners say this Italian restaurant offers delicious pizza with high-quality ingredients, as well as excellent pasta dishes, garlic knots, and cannolis. They also highlight the friendly staff, great service, and reasonable prices.",0
This place consistently delivers one of the best dining experiences in the city. The food is bold and flavorful and the service is always top notch.,1
"This place is everything a great restaurant should be. Delicious food, attentive service, and a welcoming atmosphere that makes every visit feel like a treat.",1
Visited last weekend with a group of friends and we all left raving about the food. The menu has incredible variety and everything we tried was delicious.,1
We tried this place for the first time last month and have already been back three times. The food is that good and the staff makes you feel so at home here.,1
"This restaurant is a perfect ten. The food is extraordinary, the service is exemplary, and the atmosphere is warm and inviting. A truly world class dining experience!",1
We came for a special occasion and this restaurant made it truly unforgettable. The food was extraordinary and the service was impeccable from start to finish.,1
One of the best restaurants I have visited in a long time. The passion for quality is evident in every dish and the staff treats every guest like family.,1
"This is the restaurant I have been looking for my whole life. Incredible food, wonderful service, and an atmosphere that makes you want to stay all night.",1
"This restaurant made our anniversary dinner absolutely perfect. The food was exquisite, the atmosphere was romantic, and the staff treated us like VIPs all night.",1
"Knocked it out of the park on every level. The appetizers were incredible, the main courses were stunning, and the desserts were the perfect finale. Bravo!",1
We celebrated my dad's birthday here and the staff went out of their way to make it special. The food came out hot and fresh. Dad said the brisket was the best he has had in years. Great experience overall.,0
The reviews do not lie — this place is absolutely worth the hype. Every dish was executed perfectly and the staff went out of their way to make us feel special.,1
Five stars is not enough for this restaurant. The food blew our minds and the service was the warmest and most attentive we have experienced anywhere in the city.,1
Every single thing we ordered was incredible. The kitchen is clearly staffed by talented people who love what they do and it comes through in every bite.,1
Outstanding restaurant that consistently delivers on its promise of great food and great service. We have been coming here for months and it never lets us down.,1
Been coming here for two years and it never disappoints. The consistency is what keeps me coming back. Same great food and same great service every single time. That is hard to find these days.,0
"The smoked sausage plate was incredible. Snappy casing, smoky interior, and just the right amount of spice. Sides were generous and delicious. Our server checked on us frequently without being intrusive. Solid spot.",0
"BEST BBQ ever! We've had great BBQ in New Orleans, Kansas City, and Texas but Midwood Smokehouse takes the gold medal for the best yet! Daisy, our waitress was super friendly and knew the menu well. We'll be back if we are in the Charlotte area.",0
"New favorite pizza in Charlotte. Got the massive heart shaped pizza for my daughter's class VDay party and ofc got a slice for myself to eat on the go. So crisp, so good, so NY. The team was very helpful and kind, and now we won't get pizza anywhere else again forever.",0
"Soooo good. Omgaaad! Great service and best sauces ever. Meat was awesome, sides were delicious! Manager was awesome. This restaurant group is a gem. Try Mama Ricotta's too!",0
"The food here is simply extraordinary. Each dish is carefully crafted with high quality ingredients and bold, satisfying flavors. One of my absolute favorites!",1
The portions here are generous and the flavors are bold. I ordered the pulled pork plate with mac and cheese and collard greens. Everything was seasoned perfectly. The staff was friendly and the wait was reasonable for a Friday night.,0
Honestly did not expect much walking in but left completely impressed. The cornbread alone is worth the trip. Paired with the pulled pork and a side of baked beans it was a perfect meal. Service was warm and attentive.,0
"The mac and cheese is some of the best I have had at a BBQ restaurant. Creamy, cheesy, and baked to perfection. Paired with the smoked turkey it made for a well balanced and satisfying meal.",0
Every bite was better than the last. The kitchen clearly knows what they are doing and it shows. This is the kind of restaurant that reminds you why you love food.,1
"Best meal I have had in years, maybe ever. The chef is clearly a genius and the front of house team is equally impressive. Do not sleep on this place!",1
Came here for lunch and ended up staying for hours because we were having such a great time. The food kept impressing us with every course. Truly exceptional!,1
"I was in the Uptown area and decided to stop by. The slices are huge and there are several options. I probably picked up pizza at least on 4 occasions. Prices are higher if you order online, even if picking up. I noticed a large can of pizza sauce on the floor in the bathroom. I really hope it's expired and maybe it was used as a door stopper. All I know is it shouldn't be there.",0
Came in with a group of six and everyone left happy which is rare! The meats were all perfectly smoked and the sauce selection on the table was a fun touch. Kid friendly too which we really appreciated.,0
